Date,Sequence Number,Service Provider Name,Location,Type,Service Class,Discount Sum,Amount,Balance
12/30/2023 6:53:42 pm,1447,Toronto Transit Commission,BLOOR,Transit Pass Payment,Regular,0,0,0
12/30/2023 6:04:08 pm,1446,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
12/30/2023 3:36:44 pm,1445,Toronto Transit Commission,LAWR,Transit Pass Payment,Regular,0,0,0
12/30/2023 2:37:02 pm,1444,Toronto Transit Commission,FINCH,Transit Pass Payment,Regular,0,0,0
12/30/2023 2:05:01 pm,1443,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
12/25/2023 2:55:07 pm,1442,Toronto Transit Commission,Yonge St At Churchill Ave,Transit Pass Payment,Regular,0,0,0
12/25/2023 2:42:09 pm,1441,Toronto Transit Commission,Yonge St At Sheppard Ave East North Side (Sheppard Station),Transit Pass Payment,Regular,0,3.3,0
12/24/2023 1:06:42 pm,1440,Toronto Transit Commission,FINCH,Transit Pass Payment,Regular,0,0,0
12/24/2023 12:44:08 pm,1439,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
12/23/2023 6:52:55 pm,1438,Toronto Transit Commission,NYCTR,Transit Pass Payment,Regular,0,0,0
12/23/2023 6:30:07 pm,1437,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
12/23/2023 1:28:33 pm,1436,Toronto Transit Commission,NYCTR,Transit Pass Payment,Regular,0,0,0
12/23/2023 1:13:40 pm,1435,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
12/22/2023 10:03:18 pm,1434,Toronto Transit Commission,NYCTR,Transit Pass Payment,Regular,0,3.3,0
12/22/2023 7:19:09 pm,1433,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
12/21/2023 11:41:45 pm,1432,Toronto Transit Commission,Spadina Ave At College St North Side,Transit Pass Payment,Regular,0,3.3,0
12/21/2023 6:17:44 pm,1431,Toronto Transit Commission,Spadina Ave At Nassau St South Side,Transit Pass Payment,Regular,0,0,0
12/21/2023 5:44:13 pm,1430,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
12/21/2023 2:17:46 pm,1429,Toronto Transit Commission,NYCTR,Transit Pass Payment,Regular,0,0,0
12/19/2023 1:08:53 pm,1428,Toronto Transit Commission,FINCH,Transit Pass Payment,Regular,0,0,0
12/19/2023 12:50:43 pm,1427,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
12/18/2023 1:52:43 pm,1426,Toronto Transit Commission,FINCH,Transit Pass Payment,Regular,0,0,0
12/18/2023 1:34:20 pm,1425,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
12/17/2023 8:04:30 pm,1424,Toronto Transit Commission,NYCTR,Transit Pass Payment,Regular,0,0,0
12/17/2023 7:49:28 pm,1423,Toronto Transit Commission,NYCTR,Transit Pass Payment,Regular,0,0,0
12/17/2023 7:02:20 pm,1422,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
12/17/2023 4:50:59 pm,1421,Toronto Transit Commission,WELSLY,Transit Pass Payment,Regular,0,0,0
12/17/2023 4:17:05 pm,1420,Toronto Transit Commission,QUEEN,Transit Pass Payment,Regular,0,3.3,0
12/17/2023 2:16:30 pm,1419,Toronto Transit Commission,QUEEN,Transit Pass Payment,Regular,0,0,0
12/17/2023 12:27:42 pm,1418,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
