Date,Sequence Number,Service Provider Name,Location,Type,Service Class,Discount Sum,Amount,Balance
11/30/2023 1:20:21 pm,1344,Toronto Transit Commission,Yonge St At Sheppard Ave East North Side (Sheppard Station),Transit Pass Payment,Regular,0,3.3,0
11/29/2023 9:20:50 pm,1343,Toronto Transit Commission,Spadina Ave At Queen St West North Side,Transit Pass Payment,Regular,0,0,0
11/29/2023 8:36:56 pm,1342,Toronto Transit Commission,DUFF,Transit Pass Payment,Regular,0,0,0
11/29/2023 8:34:31 pm,1341,Toronto Transit Commission,Dufferin St At Dupont St South Side,Transit Pass Payment,Regular,0,3.3,0
11/29/2023 6:55:18 pm,1340,Toronto Transit Commission,Dufferin St At Bloor St West (Dufferin Station),Transit Pass Payment,Regular,0,0,0
11/29/2023 6:16:49 pm,1339,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
11/29/2023 1:27:12 pm,1338,Toronto Transit Commission,NYCTR,Transit Pass Payment,Regular,0,0,0
11/29/2023 12:51:16 pm,1337,Toronto Transit Commission,Yonge St At Sheppard Ave East North Side (Sheppard Station),Transit Pass Payment,Regular,0,3.3,0
11/28/2023 11:24:38 pm,1336,Toronto Transit Commission,RNMEDE,Transit Pass Payment,Regular,0,0,0
11/28/2023 11:19:03 pm,1335,Toronto Transit Commission,Runnymede Rd At Dundas St West,Transit Pass Payment,Regular,0,3.3,0
11/28/2023 9:16:50 pm,1334,Toronto Transit Commission,Runnymede Rd At Colbeck St North Side,Transit Pass Payment,Regular,0,0,0
11/28/2023 8:31:50 pm,1333,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
11/28/2023 12:53:39 pm,1332,Toronto Transit Commission,EGLIN,Transit Pass Payment,Regular,0,0,0
11/28/2023 12:27:57 pm,1331,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
11/27/2023 7:19:55 pm,1330,Toronto Transit Commission,Spadina Ave At Queen St West North Side,Transit Pass Payment,Regular,0,0,0
11/27/2023 6:15:27 pm,1329,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
11/27/2023 4:06:26 pm,1328,Toronto Transit Commission,FINCH,Transit Pass Payment,Regular,0,3.3,0
11/27/2023 12:50:54 pm,1327,Toronto Transit Commission,Yonge St At Sheppard Ave East North Side (Sheppard Station),Transit Pass Payment,Regular,0,3.3,0
11/26/2023 2:18:30 pm,1326,Toronto Transit Commission,O'Connor Dr At Dohme Ave,Transit Pass Payment,Regular,0,3.3,0
11/26/2023 1:11:55 pm,1325,Toronto Transit Commission,COLLG,Transit Pass Payment,Regular,0,0,0
11/26/2023 11:39:10 am,1324,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
11/26/2023 12:23:21 am,1323,Toronto Transit Commission,LANS,Transit Pass Payment,Regular,0,0,0
11/26/2023 12:19:58 am,1322,Toronto Transit Commission,Lansdowne Ave At Lappin Ave,Transit Pass Payment,Regular,0,3.3,0
11/25/2023 8:48:41 pm,1321,Toronto Transit Commission,Lansdowne Ave At Wade Ave (Lansdowne Station),Transit Pass Payment,Regular,0,0,0
11/25/2023 8:05:39 pm,1320,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
11/25/2023 6:15:24 pm,1319,Toronto Transit Commission,NYCTR,Transit Pass Payment,Regular,0,0,0
11/25/2023 5:07:37 pm,1318,Toronto Transit Commission,Don Mills Rd At Eglinton Ave East North Side,Transit Pass Payment,Regular,0,3.3,0
11/25/2023 2:59:33 pm,1317,Toronto Transit Commission,JANE,Transit Pass Payment,Regular,0,3.3,0
11/25/2023 12:18:22 pm,1316,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
11/25/2023 1:29:45 am,1315,Toronto Transit Commission,STPAT,Transit Pass Payment,Regular,0,3.3,0
11/24/2023 10:17:32 pm,1314,Toronto Transit Commission,Dundas St East At Yonge St (Dundas Station),Transit Pass Payment,Regular,0,0,0
11/24/2023 9:45:20 pm,1313,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
11/24/2023 6:06:28 pm,1312,Toronto Transit Commission,NYCTR,Transit Pass Payment,Regular,0,0,0
11/24/2023 5:53:11 pm,1311,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
11/24/2023 2:08:22 pm,1310,Toronto Transit Commission,BESSA,Transit Pass Payment,Regular,0,0,0
11/24/2023 12:44:25 pm,1309,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
11/23/2023 5:08:13 pm,1308,Toronto Transit Commission,FINCH,Transit Pass Payment,Regular,0,3.3,0
11/23/2023 9:00:22 am,1307,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
11/22/2023 8:22:25 pm,1306,Toronto Transit Commission,Sheppard Ave East At Midland Ave,Transit Pass Payment,Regular,0,0,0
11/22/2023 7:39:49 pm,1305,Toronto Transit Commission,SCARB,Transit Pass Payment,Regular,0,0,0
11/22/2023 7:19:00 pm,1304,Toronto Transit Commission,Sheppard Ave East At Pharmacy Ave,Transit Pass Payment,Regular,0,0,0
11/22/2023 6:23:17 pm,1303,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
11/22/2023 2:53:33 pm,1302,Toronto Transit Commission,NYCTR,Transit Pass Payment,Regular,0,0,0
11/22/2023 2:15:20 pm,1301,Toronto Transit Commission,Yonge St At Sheppard Ave East North Side (Sheppard Station),Transit Pass Payment,Regular,0,3.3,0
11/22/2023 12:02:22 am,1300,Toronto Transit Commission,RNMEDE,Transit Pass Payment,Regular,0,0,0
11/21/2023 11:58:00 pm,1299,Toronto Transit Commission,Runnymede Rd At Dundas St West,Transit Pass Payment,Regular,0,3.3,0
11/21/2023 10:05:32 pm,1298,Toronto Transit Commission,RNMEDE,Transit Pass Payment,Regular,0,0,0
